molecular_weight,num_rings,num_het_rings,num_atoms,num_het_atoms,fraction_CSP3,num_hba,num_hbd,num_rotatable_bonds,num_amide_bonds,logP,TPSA,pIC50
431.58,4,2,65,5,0.407407407,4,2,5,1,5.04482,77.24,9.1549015
657.823,4,2,98,11,0.583333333,5,4,16,3,2.6386,124.58,8.8538723
591.754,5,2,81,10,0.34375,6,3,11,1,2.4575,117.48,8.6989698
591.688,3,1,79,12,0.571428571,6,3,10,0,3.1318,115.46,8.6989698
629.725,5,2,80,12,0.34375,5,3,10,1,3.4677,108.25,8.6989698
585.606,3,1,71,13,0.538461538,4,3,7,0,3.9915,89.16,8.6989698
645.793,3,1,88,12,0.424242424,6,4,18,2,2.4776,142.07,8.6989698
477.563,5,3,62,6,0.166666667,4,2,4,0,2.84052,74.88,8.6126099
556.727,6,3,83,7,0.470588235,5,3,5,1,3.4589,97.17,8.6020603
562.819,4,1,93,6,0.6,3,3,12,2,4.5593,86.25,8.6020603
594.723,4,1,85,9,0.411764706,4,3,13,2,4.02072,95.48,8.5228786
621.749,4,1,88,10,0.4,4,3,13,3,3.21182,106.56,8.5228786
619.73,4,1,81,12,0.387096774,5,4,12,1,3.5328,115.35,8.5228786
650.866,4,0,94,11,0.428571429,6,5,15,2,3.3189,144.45,8.5228786
561.662,3,1,75,11,0.555555556,5,3,9,0,3.0756,98.39,8.3979397
582.712,3,0,84,9,0.393939394,4,3,15,2,4.00962,95.48,8.3979397
608.75,4,1,88,9,0.428571429,4,3,14,2,4.15852,95.48,8.3010302
678.582,3,0,80,9,0.375,3,3,14,2,4.60562,86.25,8.3010302
607.722,4,1,85,10,0.382352941,4,3,13,3,3.16932,106.56,8.3010302
657.804,4,1,89,12,0.411764706,5,3,13,2,2.87392,123.63,8.3010302
484.636,4,2,74,7,0.571428571,4,3,8,1,3.2273,88.06,8.3010302
643.849,4,1,98,9,0.447368421,5,4,17,3,3.0017,124.58,8.3010302
593.814,5,3,87,9,0.545454545,7,3,11,1,4.2267,110.18,8.2596369
849.998,4,0,113,16,0.363636364,8,5,20,4,5.0111,183.24,8.1804562
560.706,3,1,84,9,0.548387097,4,3,13,2,3.36832,95.48,8.1549015
654.829,3,0,91,12,0.382352941,5,4,15,3,2.7777,141.29,8.0969095
473.042,4,3,61,8,0.458333333,5,3,7,0,1.896,94.81,8.0969095
402.454,5,3,52,7,0.260869565,7,1,4,0,3.8726,91.85,8.0969095
661.814,5,2,95,10,0.447368421,4,4,13,3,3.196,115.35,8.0969095
459.676,3,2,71,6,0.576923077,4,3,8,1,3.6106,75.17,8.0705814
684.965,1,0,109,13,0.823529412,8,6,21,5,1.2931,187.38,8
508.734,3,2,72,10,0.583333333,6,3,13,1,2.7486,119.04,7.9586072
611.71,3,0,85,11,0.363636364,5,4,16,3,2.8001,138.57,7.9586072
443.635,4,1,70,4,0.448275862,3,2,8,1,6.44772,68.01,7.9586072
552.652,4,1,70,11,0.25,6,2,9,1,3.4623,133.04,7.9208188
386.479,4,2,53,6,0.217391304,5,2,4,0,1.88244,87.36,7.9208188
511.637,4,1,74,8,0.448275862,3,4,8,1,3.0413,94.62,7.9208188
421.354,3,2,45,11,0.263157895,6,2,3,1,3.22578,113.39,7.9208188
564.751,4,1,87,9,0.53125,5,5,13,3,2.348,127.38,7.8860564
439.344,3,2,45,12,0.263157895,6,2,3,1,3.17378,113.39,7.8860564
596.783,3,1,91,8,0.485714286,3,3,14,2,5.10182,86.25,7.8538718
433.405,3,1,50,9,0.272727273,4,1,6,1,3.5586,67.92,7.8538718
579.743,4,0,80,10,0.35483871,5,4,13,2,2.0012,132.42,7.8239088
607.797,4,0,86,10,0.393939394,5,4,13,2,2.8871,132.42,7.8239088
554.708,5,3,84,9,0.612903226,7,3,10,1,2.8319,115.75,7.7746906
572.77,5,1,88,7,0.457142857,5,4,8,1,4.4956,96.43,7.7695513
491.696,5,2,79,5,0.580645161,3,3,5,1,4.1537,75.17,7.7695513
618.705,4,1,83,11,0.323529412,6,3,13,2,3.96538,124.2,7.7447276
439.344,3,2,45,12,0.263157895,6,2,4,1,3.17538,113.39,7.7212462
581.759,4,1,82,10,0.387096774,6,4,12,1,2.3048,124.58,7.7212462
445.376,4,2,47,11,0.142857143,6,1,4,1,3.2116,93.7,7.6989698
378.382,4,2,44,7,0.095238095,4,1,3,1,3.0571,71.58,7.6989698
557.715,5,2,82,8,0.393939394,5,3,12,2,3.686,100.41,7.6382723
389.337,3,2,42,10,0.222222222,6,2,3,1,2.54008,113.39,7.6382723
369.852,4,2,46,6,0.3,4,1,1,1,3.5501,67.92,7.6197886
608.785,5,2,85,11,0.40625,7,3,11,1,1.5867,119.03,7.5850267
535.777,5,2,88,7,0.71875,3,3,11,3,6.31677,88.53,7.5686364
530.648,5,1,72,6,0.205882353,4,2,2,1,4.92908,106.83,7.5686364
542.653,3,0,71,10,0.285714286,5,2,10,1,2.999,120.42,7.5686364
488.737,2,1,85,6,0.724137931,3,3,6,2,3.7266,86.25,7.5686364
371.347,3,2,42,9,0.222222222,6,2,3,1,2.24288,113.39,7.5528421
400.486,4,3,54,7,0.260869565,6,1,5,1,2.6937,97.36,7.5228786
537.769,3,1,88,7,0.5625,4,4,15,2,4.1155,98.28,7.4814858
505.723,5,2,82,5,0.59375,3,3,5,1,4.5438,75.17,7.4436975
879.892,4,0,105,20,0.285714286,12,5,19,4,1.2865,263.5,7.4317985
641.743,1,0,94,16,0.75862069,10,7,19,5,-4.8093,287.62,7.4089355
569.648,4,1,77,10,0.35483871,4,4,12,2,3.7296,98.28,7.3979402
386.455,4,2,51,6,0.173913043,5,1,4,1,3.09592,80.81,7.3979402
439.344,3,2,45,12,0.263157895,6,2,3,1,3.17378,113.39,7.3979402
452.46,5,3,54,9,0.208333333,5,2,4,0,1.8982,77.71,7.3899999
441.64,3,1,73,6,0.615384615,4,3,8,1,2.6144,83.76,7.3565474
457.321,3,1,49,10,0.142857143,5,4,5,2,3.61895,122.8,7.3565474
473.628,3,0,73,6,0.535714286,2,3,8,1,4.0934,65.94,7.3279023
335.411,4,2,46,6,0.368421053,5,1,1,1,2.098,84.47,7.318759
1007.24,3,1,150,20,0.596153846,12,6,25,8,2.376,276.18,7.3115802
547.635,3,1,72,11,0.538461538,5,4,7,0,2.2513,117.23,7.309804
407.327,3,2,42,11,0.222222222,6,2,4,1,2.48968,113.39,7.309804
353.357,3,2,42,8,0.222222222,6,2,3,1,2.29488,113.39,7.2923999
544.803,0,0,89,10,0.851851852,6,5,19,4,2.6094,136.63,7.2757239
389.337,3,2,42,10,0.222222222,6,2,4,1,2.54008,113.39,7.2676063
550.788,4,2,90,7,0.575757576,3,4,13,2,1.4101,90.69,7.2596374
505.651,4,2,70,8,0.481481481,3,3,7,0,3.3532,86.77,7.2596374
1024.251,5,1,142,19,0.425925926,11,5,23,6,3.9348,240.93,7.2426038
483.583,4,1,68,8,0.407407407,4,3,9,1,2.9816,83.76,7.2291479
343.39,4,3,43,6,0.1,5,1,3,1,2.1739,84.47,7.221849
348.431,4,3,41,6,0.105263158,5,1,3,1,2.8404,71.58,7.221849
654.785,4,1,87,13,0.363636364,6,4,11,3,1.5546,152.73,7.1487417
879.13,2,0,138,18,0.818181818,11,7,25,7,0.3896,280.7,7.1366773
387.527,4,1,58,4,0.36,3,2,5,1,5.17392,68.01,7.1307683
611.685,5,2,82,11,0.424242424,5,3,11,2,3.5746,108.25,7.1191864
389.337,3,2,42,10,0.222222222,6,2,4,1,2.19248,113.39,7.1135092
461.439,4,2,54,10,0.304347826,5,2,5,0,1.2878,74.05,7.1100001
559.751,4,1,86,7,0.382352941,4,5,7,1,2.61342,112.01,7.1079054
329.427,4,2,46,4,0.285714286,3,2,3,0,1.5951,65.24,7.1023731
361.409,4,3,46,8,0.210526316,7,1,4,1,1.3903,102.29,7.09691
360.417,4,2,47,6,0.285714286,5,1,1,1,2.76838,91.71,7.0268722
599.796,4,1,91,8,0.388888889,5,3,16,2,4.9858,100.41,7.0268722
373.839,4,2,45,7,0.315789474,3,3,3,1,1.8192,81.98,7.0177288
536.674,4,0,72,9,0.310344828,5,3,12,1,1.7412,120.39,7.0087738
478.61,4,2,66,9,0.5,4,2,5,0,2.3213,74.52,7
453.933,5,3,53,7,0.038461538,6,1,6,0,6.0833,78.85,7
668.877,3,0,97,11,0.444444444,7,4,20,2,3.5256,147.64,6.9507818
608.774,4,1,90,9,0.428571429,3,4,13,2,2.26812,90.69,6.9208188
