AMW,num_rings,fraction_CSP3,num_hba,num_hbd,num_het_atoms,logP,TPSA,solubility
40.065,0,0.333333333,0,0,0,0.6395,0,-0.41
41.053,0,0.5,1,0,1,0.52988,23.79,0.26
42.081,0,0.333333333,0,0,0,1.1923,0,-1.08
44.097,0,1,0,0,0,1.4163,0,-1.94
46.069,0,1,1,1,1,-0.0014,20.23,1.1
46.073,0,1,2,2,2,-0.9205,38.05,1.34
53.064,0,0,1,0,1,0.69598,23.79,0.15
54.092,0,0,0,0,0,1.3584,0,-1.87
54.092,0,0.5,0,0,0,1.0296,0,-1.24
55.08,0,0.666666667,1,0,1,0.91998,23.79,0.28
56.064,0,0,1,0,1,0.3713,17.07,0.57
56.108,0,0.5,0,0,0,1.5824,0,-1.94
56.108,0,0.5,0,0,0,1.5824,0,-2.33
58.08,1,1,1,0,1,0.4051,12.53,-0.59
58.08,0,0.666666667,1,0,1,0.5953,17.07,0.58
58.124,0,1,0,0,0,1.6623,0,-2.55
58.124,0,1,0,0,0,1.8064,0,-2.57
59.068,0,0.5,1,1,2,-0.5084,43.09,1.58
60.052,0,0.5,2,0,2,-0.2108,26.3,0.58
60.056,0,0,1,2,3,-0.9762,69.11,0.96
60.096,0,1,1,1,1,0.3887,20.23,0.62
60.096,0,1,1,1,1,0.3871,20.23,0.43
61.04,0,1,2,0,3,-0.1071,43.14,0.26
62.137,0,1,1,0,1,0.9792,0,-0.45
62.137,0,1,1,1,1,0.9361,0,-0.6
62.499,0,0,0,0,1,1.3687,0,-1.75
64.515,0,1,0,0,1,1.2451,0,-1.06
68.075,1,0,1,0,1,1.2796,13.14,-0.82
68.119,0,0.6,0,0,0,1.4197,0,-1.64
68.119,0,0.2,0,0,0,1.7485,0,-2.09
68.119,0,0.2,0,0,0,1.7485,0,-2.03
68.119,1,0.6,0,0,0,1.7265,0,-2.1
70.091,0,0.25,1,0,1,0.7614,17.07,0.32
70.091,0,0.25,1,0,1,0.7614,17.07,0.32
70.135,0,0.6,0,0,0,1.9725,0,-2.73
70.135,0,0.6,0,0,0,1.9725,0,-2.56
70.135,0,0.6,0,0,0,1.9725,0,-2.68
70.135,0,0.6,0,0,0,1.9725,0,-2.54
70.135,1,1,0,0,0,1.9505,0,-2.64
70.135,0,0.6,0,0,0,1.8284,0,-2.73
70.135,0,0.6,0,0,0,1.9725,0,-2.54
72.107,0,0.75,1,0,1,0.9854,17.07,0.52
72.107,1,1,1,0,1,0.7968,9.23,0.49
72.107,0,0.75,1,0,1,0.9854,17.07,-0.01
72.107,0,0.5,1,0,1,1.1664,9.23,-0.85
72.151,0,1,0,0,0,2.1965,0,-3.18
72.151,0,1,0,0,0,2.0524,0,-3.18
74.079,0,0.666666667,2,0,2,0.1793,26.3,0.46
74.079,0,0.666666667,2,0,2,0.1793,26.3,0.15
74.123,0,1,1,1,1,0.7788,20.23,0
74.123,0,1,1,0,1,1.0428,9.23,-0.39
74.123,0,1,1,1,1,0.7772,20.23,0.47
74.123,0,1,1,1,1,0.6347,20.23,0.1
74.123,0,1,1,0,1,1.0428,9.23,-0.09
75.067,0,1,2,0,3,0.283,43.14,-0.22
75.498,0,0.5,1,0,2,0.74878,23.79,-0.092
76.095,0,1,2,0,2,0.2367,18.46,0.48
76.124,0,0,1,2,3,-0.8113,52.04,0.32
78.114,1,0,0,0,0,1.6866,0,-1.64
78.542,0,1,0,0,1,1.6336,0,-1.41
78.542,0,1,0,0,1,1.6352,0,-1.47
79.102,1,0,1,0,1,1.0816,12.89,0.76
80.09,1,0,2,0,2,0.4766,25.78,1.1
80.09,1,0,2,0,2,0.4766,25.78,1.1
80.13,1,0.333333333,0,0,0,1.8926,0,-2.06
82.146,0,0.666666667,0,0,0,1.8098,0,-2.36
82.146,0,0.666666667,0,0,0,1.8098,0,-1.99
82.146,0,0.333333333,0,0,0,2.1386,0,-2.68
82.146,1,0.666666667,0,0,0,2.1166,0,-2.59
82.146,0,0.333333333,0,0,0,2.1386,0,-2.4
84.082,1,0,3,2,4,-0.6131,67.59,0.522
84.082,0,0,2,2,4,-1.25912,88.19,-0.31
84.143,1,0,1,0,1,1.7481,0,-1.33
84.162,0,0.666666667,0,0,0,2.3626,0,-3.03
84.162,0,0.666666667,0,0,0,2.3626,0,-3.23
84.162,1,1,0,0,0,2.3406,0,-3.1
84.162,1,1,0,0,0,2.1965,0,-3.3
84.933,0,1,0,0,2,1.4215,0,-0.63
85.106,1,0.75,1,1,2,-0.1036,29.1,1.07
86.09,0,0.25,2,0,2,0.3454,26.3,-0.22
86.134,0,0.8,1,0,1,1.3755,17.07,-0.85
86.134,0,0.8,1,0,1,1.3755,17.07,-0.19
86.134,0,0.8,1,0,1,1.2314,17.07,-0.12
86.134,0,0.6,1,1,1,0.9449,20.23,-0.15
86.134,1,1,1,0,1,1.1853,9.23,0.11
86.134,1,1,1,0,1,1.1869,9.23,-0.03
86.134,0,0.8,1,0,1,1.3755,17.07,-0.28
86.178,0,1,0,0,0,2.4425,0,-3.55
86.178,0,1,0,0,0,2.4425,0,-3.68
86.178,0,1,0,0,0,2.4425,0,-3.74
86.178,0,1,0,0,0,2.2984,0,-3.65
86.178,0,1,0,0,0,2.5866,0,-3.84
87.122,0,0.75,1,0,2,0.0945,20.31,1.11
88.106,0,0.75,2,0,2,0.5694,26.3,-0.49
88.106,0,0.75,2,0,2,0.5678,26.3,-0.63
88.106,0,0.75,2,0,2,0.5694,26.3,-0.04
88.106,0,0.75,2,0,2,0.5694,26.3,-0.14
88.15,0,1,1,1,1,1.1673,20.23,0.15
88.15,0,1,1,1,1,1.0248,20.23,-0.47
88.15,0,1,1,0,1,1.4313,9.23,-0.24
88.15,0,1,1,0,1,1.4329,9.23,-0.66
88.15,0,1,1,1,1,1.1689,20.23,-0.6
88.15,0,1,1,1,1,1.0232,20.23,-0.18
88.15,0,1,1,1,1,1.0248,20.23,-0.51
88.15,0,1,1,1,1,1.1673,20.23,-0.29
88.15,0,1,1,0,1,1.4329,9.23,-0.99
88.15,0,1,1,1,1,1.0248,20.23,-0.4
88.15,0,1,1,1,1,1.1673,20.23,-0.24
89.094,0,1,2,0,3,0.6731,43.14,-0.8
89.094,0,1,2,0,3,0.6715,43.14,-0.62
89.094,0,0.666666667,2,1,3,0.1016,52.32,0.85
89.525,0,0.666666667,1,0,2,1.13888,23.79,-0.29
90.191,0,1,1,1,1,1.7163,0,-2.18
90.191,0,1,1,0,1,1.7594,0,-1.34
92.094,0,1,3,3,3,-1.6681,60.69,1.12
